﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
02.09.2024 00:00:00;02.09.2024 01:00:00;5269,800
02.09.2024 01:00:00;02.09.2024 02:00:00;5030,100
02.09.2024 02:00:00;02.09.2024 03:00:00;4975,500
02.09.2024 03:00:00;02.09.2024 04:00:00;4865,400
02.09.2024 04:00:00;02.09.2024 05:00:00;5002,500
02.09.2024 05:00:00;02.09.2024 06:00:00;5700,300
02.09.2024 06:00:00;02.09.2024 07:00:00;6824,400
02.09.2024 07:00:00;02.09.2024 08:00:00;7466,800
02.09.2024 08:00:00;02.09.2024 09:00:00;7704,100
02.09.2024 09:00:00;02.09.2024 10:00:00;7525,200
02.09.2024 10:00:00;02.09.2024 11:00:00;7439,400
02.09.2024 11:00:00;02.09.2024 12:00:00;7236,500
02.09.2024 12:00:00;02.09.2024 13:00:00;7129,000
02.09.2024 13:00:00;02.09.2024 14:00:00;7126,200
02.09.2024 14:00:00;02.09.2024 15:00:00;7263,800
02.09.2024 15:00:00;02.09.2024 16:00:00;7395,300
02.09.2024 16:00:00;02.09.2024 17:00:00;7454,900
02.09.2024 17:00:00;02.09.2024 18:00:00;7751,400
02.09.2024 18:00:00;02.09.2024 19:00:00;7866,100
02.09.2024 19:00:00;02.09.2024 20:00:00;7810,100
02.09.2024 20:00:00;02.09.2024 21:00:00;7460,700
02.09.2024 21:00:00;02.09.2024 22:00:00;6865,800
02.09.2024 22:00:00;02.09.2024 23:00:00;6428,800
02.09.2024 23:00:00;03.09.2024 00:00:00;5946,900
03.09.2024 00:00:00;03.09.2024 01:00:00;5684,400
03.09.2024 01:00:00;03.09.2024 02:00:00;5374,100
03.09.2024 02:00:00;03.09.2024 03:00:00;5273,900
03.09.2024 03:00:00;03.09.2024 04:00:00;5145,600
03.09.2024 04:00:00;03.09.2024 05:00:00;5239,000
03.09.2024 05:00:00;03.09.2024 06:00:00;5842,200
03.09.2024 06:00:00;03.09.2024 07:00:00;6981,400
03.09.2024 07:00:00;03.09.2024 08:00:00;7561,400
03.09.2024 08:00:00;03.09.2024 09:00:00;7682,400
03.09.2024 09:00:00;03.09.2024 10:00:00;7483,100
03.09.2024 10:00:00;03.09.2024 11:00:00;7402,000
03.09.2024 11:00:00;03.09.2024 12:00:00;7277,100
03.09.2024 12:00:00;03.09.2024 13:00:00;7055,400
03.09.2024 13:00:00;03.09.2024 14:00:00;7053,700
03.09.2024 14:00:00;03.09.2024 15:00:00;7071,100
03.09.2024 15:00:00;03.09.2024 16:00:00;7230,900
03.09.2024 16:00:00;03.09.2024 17:00:00;7405,400
03.09.2024 17:00:00;03.09.2024 18:00:00;7724,000
03.09.2024 18:00:00;03.09.2024 19:00:00;7882,100
03.09.2024 19:00:00;03.09.2024 20:00:00;7811,700
03.09.2024 20:00:00;03.09.2024 21:00:00;7499,700
03.09.2024 21:00:00;03.09.2024 22:00:00;6868,700
03.09.2024 22:00:00;03.09.2024 23:00:00;6422,300
03.09.2024 23:00:00;04.09.2024 00:00:00;5983,000
04.09.2024 00:00:00;04.09.2024 01:00:00;5729,700
04.09.2024 01:00:00;04.09.2024 02:00:00;5454,000
04.09.2024 02:00:00;04.09.2024 03:00:00;5341,300
04.09.2024 03:00:00;04.09.2024 04:00:00;5238,300
04.09.2024 04:00:00;04.09.2024 05:00:00;5332,800
04.09.2024 05:00:00;04.09.2024 06:00:00;5948,700
04.09.2024 06:00:00;04.09.2024 07:00:00;7062,300
04.09.2024 07:00:00;04.09.2024 08:00:00;7607,800
04.09.2024 08:00:00;04.09.2024 09:00:00;7783,900
04.09.2024 09:00:00;04.09.2024 10:00:00;7581,700
04.09.2024 10:00:00;04.09.2024 11:00:00;7441,100
04.09.2024 11:00:00;04.09.2024 12:00:00;7352,200
04.09.2024 12:00:00;04.09.2024 13:00:00;7132,800
04.09.2024 13:00:00;04.09.2024 14:00:00;7165,000
04.09.2024 14:00:00;04.09.2024 15:00:00;7216,300
04.09.2024 15:00:00;04.09.2024 16:00:00;7323,500
04.09.2024 16:00:00;04.09.2024 17:00:00;7497,900
04.09.2024 17:00:00;04.09.2024 18:00:00;7866,400
04.09.2024 18:00:00;04.09.2024 19:00:00;7972,300
04.09.2024 19:00:00;04.09.2024 20:00:00;7896,000
04.09.2024 20:00:00;04.09.2024 21:00:00;7501,700
04.09.2024 21:00:00;04.09.2024 22:00:00;6914,600
04.09.2024 22:00:00;04.09.2024 23:00:00;6496,300
04.09.2024 23:00:00;05.09.2024 00:00:00;6007,100
05.09.2024 00:00:00;05.09.2024 01:00:00;5757,700
05.09.2024 01:00:00;05.09.2024 02:00:00;5455,300
05.09.2024 02:00:00;05.09.2024 03:00:00;5317,500
05.09.2024 03:00:00;05.09.2024 04:00:00;5226,200
05.09.2024 04:00:00;05.09.2024 05:00:00;5407,600
05.09.2024 05:00:00;05.09.2024 06:00:00;5972,900
05.09.2024 06:00:00;05.09.2024 07:00:00;7043,400
05.09.2024 07:00:00;05.09.2024 08:00:00;7648,600
05.09.2024 08:00:00;05.09.2024 09:00:00;7985,400
05.09.2024 09:00:00;05.09.2024 10:00:00;7980,600
05.09.2024 10:00:00;05.09.2024 11:00:00;7814,100
05.09.2024 11:00:00;05.09.2024 12:00:00;7704,400
05.09.2024 12:00:00;05.09.2024 13:00:00;7469,300
05.09.2024 13:00:00;05.09.2024 14:00:00;7383,000
05.09.2024 14:00:00;05.09.2024 15:00:00;7302,100
05.09.2024 15:00:00;05.09.2024 16:00:00;7514,400
05.09.2024 16:00:00;05.09.2024 17:00:00;7708,600
05.09.2024 17:00:00;05.09.2024 18:00:00;8014,600
05.09.2024 18:00:00;05.09.2024 19:00:00;8012,800
05.09.2024 19:00:00;05.09.2024 20:00:00;7854,600
05.09.2024 20:00:00;05.09.2024 21:00:00;7442,000
05.09.2024 21:00:00;05.09.2024 22:00:00;6814,400
05.09.2024 22:00:00;05.09.2024 23:00:00;6396,200
05.09.2024 23:00:00;06.09.2024 00:00:00;5959,000
06.09.2024 00:00:00;06.09.2024 01:00:00;5675,200
06.09.2024 01:00:00;06.09.2024 02:00:00;5425,900
06.09.2024 02:00:00;06.09.2024 03:00:00;5326,800
06.09.2024 03:00:00;06.09.2024 04:00:00;5180,900
06.09.2024 04:00:00;06.09.2024 05:00:00;5345,000
06.09.2024 05:00:00;06.09.2024 06:00:00;5860,900
06.09.2024 06:00:00;06.09.2024 07:00:00;6916,100
06.09.2024 07:00:00;06.09.2024 08:00:00;7690,400
06.09.2024 08:00:00;06.09.2024 09:00:00;8134,700
06.09.2024 09:00:00;06.09.2024 10:00:00;8306,300
06.09.2024 10:00:00;06.09.2024 11:00:00;8323,400
06.09.2024 11:00:00;06.09.2024 12:00:00;8151,800
06.09.2024 12:00:00;06.09.2024 13:00:00;7606,100
06.09.2024 13:00:00;06.09.2024 14:00:00;6957,000
06.09.2024 14:00:00;06.09.2024 15:00:00;6500,100
06.09.2024 15:00:00;06.09.2024 16:00:00;6416,500
06.09.2024 16:00:00;06.09.2024 17:00:00;6639,300
06.09.2024 17:00:00;06.09.2024 18:00:00;7025,800
06.09.2024 18:00:00;06.09.2024 19:00:00;7234,500
06.09.2024 19:00:00;06.09.2024 20:00:00;7237,900
06.09.2024 20:00:00;06.09.2024 21:00:00;6923,900
06.09.2024 21:00:00;06.09.2024 22:00:00;6317,000
06.09.2024 22:00:00;06.09.2024 23:00:00;6002,200
06.09.2024 23:00:00;07.09.2024 00:00:00;5530,800
07.09.2024 00:00:00;07.09.2024 01:00:00;5319,000
07.09.2024 01:00:00;07.09.2024 02:00:00;5068,200
07.09.2024 02:00:00;07.09.2024 03:00:00;4912,000
07.09.2024 03:00:00;07.09.2024 04:00:00;4793,300
07.09.2024 04:00:00;07.09.2024 05:00:00;4785,500
07.09.2024 05:00:00;07.09.2024 06:00:00;5017,200
07.09.2024 06:00:00;07.09.2024 07:00:00;5451,900
07.09.2024 07:00:00;07.09.2024 08:00:00;5732,700
07.09.2024 08:00:00;07.09.2024 09:00:00;6025,500
07.09.2024 09:00:00;07.09.2024 10:00:00;6070,900
07.09.2024 10:00:00;07.09.2024 11:00:00;6115,500
07.09.2024 11:00:00;07.09.2024 12:00:00;5920,300
07.09.2024 12:00:00;07.09.2024 13:00:00;5667,200
07.09.2024 13:00:00;07.09.2024 14:00:00;5550,500
07.09.2024 14:00:00;07.09.2024 15:00:00;5530,100
07.09.2024 15:00:00;07.09.2024 16:00:00;5643,200
07.09.2024 16:00:00;07.09.2024 17:00:00;5824,700
07.09.2024 17:00:00;07.09.2024 18:00:00;6128,800
07.09.2024 18:00:00;07.09.2024 19:00:00;6350,300
07.09.2024 19:00:00;07.09.2024 20:00:00;6342,400
07.09.2024 20:00:00;07.09.2024 21:00:00;6211,400
07.09.2024 21:00:00;07.09.2024 22:00:00;5846,100
07.09.2024 22:00:00;07.09.2024 23:00:00;5638,900
07.09.2024 23:00:00;08.09.2024 00:00:00;5212,900
08.09.2024 00:00:00;08.09.2024 01:00:00;4965,800
08.09.2024 01:00:00;08.09.2024 02:00:00;4687,600
08.09.2024 02:00:00;08.09.2024 03:00:00;4604,100
08.09.2024 03:00:00;08.09.2024 04:00:00;4454,100
08.09.2024 04:00:00;08.09.2024 05:00:00;4410,200
08.09.2024 05:00:00;08.09.2024 06:00:00;4565,000
08.09.2024 06:00:00;08.09.2024 07:00:00;4830,900
08.09.2024 07:00:00;08.09.2024 08:00:00;5022,400
08.09.2024 08:00:00;08.09.2024 09:00:00;5233,600
08.09.2024 09:00:00;08.09.2024 10:00:00;5386,200
08.09.2024 10:00:00;08.09.2024 11:00:00;5381,000
08.09.2024 11:00:00;08.09.2024 12:00:00;5386,000
08.09.2024 12:00:00;08.09.2024 13:00:00;5271,100
08.09.2024 13:00:00;08.09.2024 14:00:00;5232,000
08.09.2024 14:00:00;08.09.2024 15:00:00;5342,900
08.09.2024 15:00:00;08.09.2024 16:00:00;5755,400
08.09.2024 16:00:00;08.09.2024 17:00:00;6135,800
08.09.2024 17:00:00;08.09.2024 18:00:00;6351,300
08.09.2024 18:00:00;08.09.2024 19:00:00;6440,300
08.09.2024 19:00:00;08.09.2024 20:00:00;6458,000
08.09.2024 20:00:00;08.09.2024 21:00:00;6243,200
08.09.2024 21:00:00;08.09.2024 22:00:00;5813,400
08.09.2024 22:00:00;08.09.2024 23:00:00;5659,600
08.09.2024 23:00:00;09.09.2024 00:00:00;5371,900
